candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,search_query
KL32::bertrand-kamal († décédé avant la finale),KL32,Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),12.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 57 ] , [ 58 ] , [ 59 ] , [ 60 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Bertrand-Kamal († décédé avant la finale)"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::joaquina,KL32,Koh-Lanta : Les 4 Terres,Joaquina,13.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 61 ] [source secondaire souhaitée] , [ 62 ] [source secondaire souhaitée] , [ 63 ] [source secondaire souhaitée] , [ 64 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Joaquina"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::jody,KL32,Koh-Lanta : Les 4 Terres,Jody,14.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 65 ] [source secondaire souhaitée] , [ 66 ] [source secondaire souhaitée] , [ 67 ] [source secondaire souhaitée] , [ 68 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Jody"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::laurent,KL32,Koh-Lanta : Les 4 Terres,Laurent,15.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 69 ] [source secondaire souhaitée] , [ 70 ] [source secondaire souhaitée] , [ 71 ] [source secondaire souhaitée] , [ 72 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Laurent"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::alix,KL32,Koh-Lanta : Les 4 Terres,Alix,16.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 73 ] [source secondaire souhaitée] , [ 74 ] [source secondaire souhaitée] , [ 75 ] [source secondaire souhaitée] , [ 76 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Alix"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::fabrice,KL32,Koh-Lanta : Les 4 Terres,Fabrice,17.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 77 ] [source secondaire souhaitée] , [ 78 ] [source secondaire souhaitée] , [ 79 ] [source secondaire souhaitée] , [ 80 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Fabrice"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::ava,KL32,Koh-Lanta : Les 4 Terres,Ava,18.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 81 ] [source secondaire souhaitée] , [ 82 ] [source secondaire souhaitée] , [ 83 ] [source secondaire souhaitée] , [ 84 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Ava"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::angélique,KL32,Koh-Lanta : Les 4 Terres,Angélique,19.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 85 ] [source secondaire souhaitée] , [ 86 ] [source secondaire souhaitée] , [ 87 ] [source secondaire souhaitée] , [ 88 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Angélique"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::dorian,KL32,Koh-Lanta : Les 4 Terres,Dorian,20.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 89 ] [source secondaire souhaitée] , [ 90 ] [source secondaire souhaitée] , [ 91 ] [source secondaire souhaitée] , [ 92 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Dorian"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL32::lola,KL32,Koh-Lanta : Les 4 Terres,Lola,21.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 93 ] [source secondaire souhaitée] , [ 94 ] [source secondaire souhaitée] , [ 95 ] [source secondaire souhaitée] , [ 96 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Lola"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
