candidate_season_key,season_id,season_name,candidate_name,age_found,age_value,age_source_url,age_source_excerpt,age_source_quality,age_confidence,gender_found,gender_normalized,gender_source_url,gender_source_excerpt,gender_source_quality,gender_confidence,profession_found,profession_raw,profession_normalized,profession_source_url,profession_source_excerpt,profession_source_quality,profession_confidence,sport_evidence_found,explicit_sport_activity,sport_name,sport_frequency,sport_intensity,competition_level,years_of_practice,muscularity_evidence_found,documented_muscular_build,muscularity_evidence_text,physical_source_url_1,physical_source_excerpt_1,physical_source_quality_1,physical_source_url_2,physical_source_excerpt_2,physical_source_quality_2,proposed_physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,physical_score_confidence,research_status,researcher_notes,manual_reviewer_decision
KL31::candice boisson,KL31,Koh-Lanta : L'Île au trésor,Candice Boisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL31::bruno troester,KL31,Koh-Lanta : L'Île au trésor,Bruno Troester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL31::freddy bolzer,KL31,Koh-Lanta : L'Île au trésor,Freddy Bolzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL31::jesta hillmann,KL31,Koh-Lanta : L'Île au trésor,Jesta Hillmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL31::benoît assadi,KL31,Koh-Lanta : L'Île au trésor,Benoît Assadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::françois,KL32,Koh-Lanta : Les 4 Terres,François,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::carole,KL32,Koh-Lanta : Les 4 Terres,Carole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::samuel,KL32,Koh-Lanta : Les 4 Terres,Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::diane,KL32,Koh-Lanta : Les 4 Terres,Diane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::estelle,KL32,Koh-Lanta : Les 4 Terres,Estelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::mathieu,KL32,Koh-Lanta : Les 4 Terres,Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::adrien,KL32,Koh-Lanta : Les 4 Terres,Adrien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::aubin,KL32,Koh-Lanta : Les 4 Terres,Aubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::sébastien,KL32,Koh-Lanta : Les 4 Terres,Sébastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::marie-france,KL32,Koh-Lanta : Les 4 Terres,Marie-France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::hadja,KL32,Koh-Lanta : Les 4 Terres,Hadja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::bertrand-kamal († décédé avant la finale),KL32,Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::joaquina,KL32,Koh-Lanta : Les 4 Terres,Joaquina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::jody,KL32,Koh-Lanta : Les 4 Terres,Jody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::laurent,KL32,Koh-Lanta : Les 4 Terres,Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::alix,KL32,Koh-Lanta : Les 4 Terres,Alix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::fabrice,KL32,Koh-Lanta : Les 4 Terres,Fabrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::ava,KL32,Koh-Lanta : Les 4 Terres,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::angélique,KL32,Koh-Lanta : Les 4 Terres,Angélique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::dorian,KL32,Koh-Lanta : Les 4 Terres,Dorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::lola,KL32,Koh-Lanta : Les 4 Terres,Lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::loïc,KL32,Koh-Lanta : Les 4 Terres,Loïc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::brice,KL32,Koh-Lanta : Les 4 Terres,Brice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
KL32::alexandra,KL32,Koh-Lanta : Les 4 Terres,Alexandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_STARTED,,
